অগ্র,পশ্চাৎ
জাগরণ,নিদ্রা
জাত,অজাত
জাতীয়,বিজাতীয়
জান,অজান
জানা,অজানা
জায়া,পতি
জাল,আসল
জিন্দা,মুর্দা
জিত,হার
জিনিস,লোক
জীবন,মরণ
জীবিত,মৃত
জুয়ারী,সাধু
জৈব,অজৈব
জোয়ার,ভাটা
জ্ঞাত,অজ্ঞাত
জ্ঞান,অজ্ঞান
জ্ঞানী,মূর্খ
জ্যেষ্ঠ,কনিষ্ঠ
জ্যোতি,তমঃ
জ্বলা,নেভা
ঝগড়া,ভাব
ঝলমলে,ম্লান
ঝাঁজ,শান্ত
ঝুট,সাচ্চা
ঝোঁক,নিরপেক্ষতা
টনক,বেহুঁশ
টাকা,পয়সা
টান,ঢিল
টানা,পড়েন
টাকশাল,বাজার
টিপ,টিপ
টিলা,গর্ত
টেকসই,ভঙ্গুর
টেল,মুড়া
ঠক,সাধু
ঠাণ্ডা,গরম
ঠিক,ভুল
ঠিকানা,বেঠিকানা
ঠুনকো,মজবুত
ঠেলা,টানা
ডাগর,ছোট
ডান,বাম
ডাল,পাতা
ডুবন্ত,ভাসন্ত
ডেপো,গিন্নি
ঢাকা,খোলা
ঢিল,কড়া
ঢিলা,কষা
ঢেউ,শান্ত
তক্ক,গপ্প
তটস্থ,চঞ্চল
তত,যত
তত্ত্ব,গল্প
তদীয়,মদীয়
তনয়,তনয়া
তন্নিষ্ঠ,বহির্মুখ
তপ্ত,শীতল
তমসা,আলোক
তর,তম
তরল,ঘন
তরুণ,বৃদ্ধ
তর্ক,মীমাংসা
তল,উপর
তস্কর,সাধু
তাঁত,কল
তাজা,বাসি
তাড়াতাড়ি,ধীরে
তাপ,শৈত্য
তামসিক,রাজসিক
তারা,গ্রহ
তারুণ্য,বার্ধক্য
তিক্ত,মধুর
তিরস্কার,পুরস্কার
তিরোভাব,আবির্ভাব
তীক্ষ্ণ,ভোতা
তীব্র,মৃদু
তীর,নীর
তুচ্ছ,মহৎ
তুষ্টি,অতুষ্টি
তুষ্ট,রুষ্ট
তৃপ্ত,অতৃপ্ত
তৃষ্ণা,তৃপ্তি
তেজ,নিস্তেজ
তেজী,মন্দা
তেতো,মিঠে
তেল,জল
তোষণ,দমন
ত্যক্ত,গৃহীত
ত্যাগ,ভোগ
ত্রাস,সাহস
ত্রুটি,নিখুঁত
থই,অথই
থামা,চলা
স্থির,চঞ্চল
থোকা,খুচরা
দখল,বেদখল
দক্ষ,অদক্ষ
দক্ষিণ,বাম
দণ্ড,পুরস্কার
দগ্ধ,অদগ্ধ
দত,নেয়া
দমন,লেলিহান
দম্পতি,অদম্পতি
দরদ,নির্দয়
দরদী,নির্দয়
দরাজ,কঞ্জুস
দরিদ্র,ধনী
দর্প,বিনয়
দর্শন,শ্রবণ
দল,বিভেদ
দশা,বেহাল
দস্তুর,বে-দস্তুর
দাতা,গ্রহীতা
দান,গ্রহণ
দানব,দেবতা
দায়,মুক্তি
দায়ক,মোচক
দায়ী,নির্দোষ
দারুণ,সাধারণ
দাস,প্রভু
দিবা,রাত্রি
দিন,রাত
দীর্ঘ,হ্রস্ব
দীর্ঘজীবী,স্বল্পজীবী
দীর্ঘায়ু,স্বল্পায়ু
দুঃসময়,সুসময়
দুঃখ,সুখ
দুজন,সজ্জন
দুনিয়া,আখেরাত
দুরন্ত,শান্ত
দুরাচার,সদাচার
দুরাত্মা,মহাত্মা
দুরিত,পুণ্য
দুর্বল,সবল
দুর্ভাগ্য,সৌভাগ্য
দুর্মূল্য,সুলভ
দুর্লভ,সুলভ
দুষ্কৃতি,সুকৃতি
দুষ্ট,শিষ্ট
দুস্তর,সুস্তর
দূষিত,বিশুদ্ধ
দূর,নিকট
দূরত্ব,নৈকট্য
দূরদর্শী,অদূরদর্শী
দৃঢ়,শিথিল
দৃশ্য,অদৃশ্য
দৃষ্ট,অদৃষ্ট
দৃষ্টি,অন্ধত্ব
দেনা,পাওনা
দেব,দানব
দেবতা,রাক্ষস
দেশ,বিদেশ
দেশী,বিদেশী
দেহ,আত্মা
দৈত্য,দেবতা
দৈব,পৌরুষ
দোষ,গুণ
দোষী,নির্দোষ
দৌহিত্র,পৌত্র
দ্যুলোক,ভূলোক
দ্রুত,মন্থর
দ্বন্দ্ব,মিলন
দ্বেষ,প্রীতি
ধন,ঋণ
ধনী,দরিদ্র
ধন্য,অধন্য
ধর্ম,অধর্ম
ধবল,কৃষ্ণ
ধরা,ছাঁড়া
ধাত্রী,জননী
ধান্য,তৃণ
ধার্মিক,পাপী
ধীর,চঞ্চল
ধীরে,দ্রুত
ধুম,নিঃশব্দ
ধৃত,মুক্ত
ধৃষ্ট,নম্র
ধৈর্য,অধৈর্য
ধ্বংস,সৃষ্টি
ধ্বজা,নিশান
নকদ,বাকি
নকল,আসল
নগণ্য,গন্য
নত,উন্নত
নতুন,পুরাতন
নমনীয়,কঠিন
নম্র,উদ্ধত
নর,নারী
নরক,স্বর্গ
নবীন,প্রবীণ
নশ্বর,অবিনশ্বর
নষ্ট,উদ্ধার
না,হ্যাঁ
নাগরিক,গ্রাম্য
নাজুক,শক্ত
নাতিদীর্ঘ,অতিদীর্ঘ
নাদান,চতুর
নানা,এক
নাম,বদনাম
নামঞ্জুর,মঞ্জুর
নায়ক,খলনায়ক
নারাজ,রাজি
নাশ,সৃষ্টি
নিত্য,অনিত্য
নিদ্রা,জাগরণ
নিদ্রিত,জাগ্রত
নিন্দা,প্রশংসা
নিপুণ,অনিপুণ
নিবোধ,সবোধ
নিভন্ত,জ্বলন্ত
নিমগ্ন,উদাসীন
নিম্ন,উচ্চ
নিয়ত,অনিয়ত
নিয়ম,অনিয়ম
নিরক্ষর,সাক্ষর
নিরপেক্ষ,সাপেক্ষ
নিরম্ন,সাপ্র
নিরাকার,সাকার
নিরাশ্রয়,সাশ্রয়
নিরীহ,দুর্দান্ত
নিরীশ্বরবাদী,ঈশ্বরবাদী
নিরুদ্বেগ,উদ্বেগ
নির্গুণ,সগুণ
নির্জন,জনাকীর্ণ
নির্দয়,সদয়
নির্দোষ,দোষী
নির্ধন,ধনী
নির্ভীক,ভীতু
নির্মল,মলিন
নির্মাণ,ধ্বংস
নিশুতি,কোলাহল
নিশ্চয়,অনিশ্চয়
নিশ্চল,সচল
নিষিদ্ধ,অনুমোদিত
নিষ্কাম,সকাম
নিষ্ক্রিয়,সক্রিয়
নিঃশ্বাস,প্রশ্বাস
নিঃস্ব,ধনী
নিঃসীম,সসীম
নিঃস্পৃহ,সস্পৃহ
নৈসর্গিক,কৃত্রিম
ন্যূন,অধিক
পটু,অপটু
পতন,উত্থান
পতিত,উত্থিত
পত্তন,উচ্ছেদ
পথ্য,অপথ্য
পদস্থ,পদচ্যুত
পদ্য,গদ্য
পর,নিজ
পরক,আপন
পরকীয়,স্বকীয়
পরত,জিত
পরতন্ত্র,স্বতন্ত্র
পরম,তুচ্ছ
পরম্পরা,বিচ্ছিন্ন
পরা,জেতা
পরাজয়,জয়
পরাধীন,স্বাধীন
পরাম্মুখ,উন্মুখ
পরার্থ,স্বার্থ
পরিতৃপ্ত,ক্ষুধার্ত
পরিশ্রমী,অলস
পরোক্ষ,প্রত্যক্ষ
পর্যাপ্ত,অপ্রতুল
পল্লী,শহর
পশলা,টানা
পশ্চাৎ,সম্মুখ
পশ্চিম,পূর্ব
পসন্দ,নাপসন্দ
পাক,নাপাক
পাকা,কাঁচা
পাগল,স্থির
পাঠক,লেখক
পাঠ্য,পাঠক
পাণি,পদ
পান্ডিত্য,মূর্খতা
পাতলা,ঘন
পিতা,মাতা
পিত্ত,সুধা
পিলসুজ,বাতি
পীড়া,সুস্থতা
পুং,স্ত্রী
পুণ্য,পাপ
পুত্র,কন্যা
পুর,পল্লী
পুরস্কৃত,তিরস্কৃত
পুরস্কার,তিরস্কার
পুরাতন,নতুন
পুরুষ,প্রকৃতি
পুষ্ট,ক্ষীণ
পুষ্টি,অপুষ্টি
পূণ্য,পাপ
পূত,অশুচি
পূর্ণ,শূন্য
পূর্ণিমা,অমাবস্যা
পূর্ব,পশ্চিম
পূর্ববর্তী,পরবর্তী
পৃথক,একত্র
পেশী,কোমল
পোক্ত,কাঁচা
প্রকাশ,গোপন
প্রকাশ্য,গোপন
প্রকৃত,বিকৃত
প্রখর,মৃদু
প্রগতি,পশ্চাদগতি
প্রগাঢ়,অগভীর
প্রচুর,স্বল্প
প্রচ্ছন্ন,ব্যক্ত
প্রজা,রাজা
প্রণয়,কলহ
প্রতিকূল,অনুকূল
প্রতিক্ষা,ত্বরা
প্রতক্ষ,পরোক্ষ
প্রত্যয়,সন্দেহ
প্রদত্ত,গৃহীত
প্রধান,গৌণ
প্রফুল্ল,বিমর্ষ
প্রবল,দুর্বল
প্রবেশ,প্রস্থান
প্রবাস,স্বদেশ
প্রভাতে,সন্ধ্যায়
প্রভু,ভৃত্য
প্রমত্ত,স্থির
প্রলয়,সৃষ্টি
প্রশংসা,নিন্দা
প্রশস্ত,সংকীর্ণ
প্রশ্ন,উত্তর
প্রসন্ন,বিষন্ন
প্রসার,সংকোচ
প্রসারিত,কুঞ্চিত
প্রস্তুত,অপ্রস্তুত
প্রস্থান,আগমন
প্রাতঃ,সন্ধ্যা
প্রাচীন,নবীন
প্রাচীর,প্রাঙ্গণ
প্রাচ্য,পাশ্চাত্য
প্রাণ,জড়
প্রান্ত,কেন্দ্র
প্রাপক,প্রেরক
প্রার্থনা,দাবি
প্রিয়,অপ্রিয়
প্রীতি,দ্বেষ
প্রেম,ঘৃণা
প্রেরক,প্রাপক
প্রেষণ,গ্রহণ
প্রৌঢ়,নবীন
ফর্সা,কালো
ফল,ফুল
ফলন্ত,নিষ্ফল
ফাঁকা,ভরাট
ফাঁকি,আসল
ফায়দা,লোকসান
ফিকির,সরলতা
ফুর্ত,নিস্তেজ
ফুল,ফল
ফেলা,কুড়ানো
ফেল,পাশ
ফেরত,গ্রহণ
ফোটা,বোজা
বঁটি,শিল
বক্তা,শ্রোতা
বক্র,সরল
বক্ষ,পিঠ
বজ্র,কুসুম
বড়,ছোট
বদ,নেক
বদ্ধ,মুক্ত
বন্ধু,শত্রু
বন,লোকালয়
বন্য,গৃহপালিত
বর,কনে
বর্জন,গ্রহণ
বর্ণনীয়,অবর্ণনীয়
বর্তমান,অতীত
বর্ধন,ক্ষয়
বর্ষা,গ্রীষ্ম
বলিষ্ঠ,দুর্বল
বসন্ত,শীত
বস্তু,ভাব
বহিঃ,অ অন্তঃ
বহির্ভূত,অন্তর্ভুক্ত
বহু,এক
বহুভাষী,মিতাভাষী
বাচাল,স্বল্পভাষী
বাচ্চা,বুড়ো
বাজা,ভাঙা
বাঞ্ছনীয়,অবাঞ্ছনীয়
বাটি,ঘটি
বাড়তি,কমতি
বাধ্য,অবাধ্য
বাদ,প্রতিবাদ
বাদী,বিবাদী
বাধা,মুক্তি
বাম,ডান
বায়বীয়,কঠিন
বার্ধক্য,যৌবন
বালক,বৃদ্ধ
বাস,প্রবাস
বাসি,তাজা
বাস্তব,অবাস্তব
বাহাদুর,কাপুরুষ
বাহির,ভিতর
বাহ্য,অভ্যন্তরীণ
বিকল,সকল
বিকৃত,প্রকৃত
বিক্রয়,ক্রয়
বিক্রেতা,ক্রেতা
বিখ্যাত,অখ্যাত
বিগত,আগত
বিগ্রহ,সন্ধি
বিঘ্ন,নির্বিঘ্ন
বিচার,অবিচার
বিচ্ছিন্ন,সংযুক্ত
বিজয়,পরাজয়
বিজ্ঞা,অজ্ঞা
বিদ্বান,মূর্খ
বিদ্বেষ,প্রীতি
বিধবা,সধবা
বিধি,নিষেধ
বিনয়,উদ্ধত
বিনাশ,সৃষ্টি
বিপন্ন,নিরাপদ
বিপরীত,অনুকূল
বিপাক,সম্পদ
বিপুল,স্বল্প
বিফল,সফল
বিবাদ,মিত্রতা
বিবাহ,বিচ্ছেদ
বিবেচক,অবিবেচক
বিমুক্তি,বন্ধন
বিমুখ,উন্মুখ
বিয়োগ,যোগ
বিরাগ,অনুরাগ
বিরাম,অবিরাম
বিরল,বহুল
বিরাহ,মিলন
বিলম্ব,ত্বরা
বিলাস,সংযম
বিশিষ্ট,সাধারণ
বিশুদ্ধ,দূষিত
বিশেষ,সামান্য
বিশেষণ,বিশেষ্য
বিশ্বাস,অবিশ্বাস
বিষ,অমৃত
বিষাদ,হর্ষ
বিসর্জন,আবাহন
বিস্তৃত,সংক্ষিপ্ত
বিস্মরণ,স্মরণ
বিহিত,অবিহিত
বীজ,মহীরুহ
বীর,কাপুরুষ
বুঝ,অবুঝ
বুদ্ধিমান,বোকা
বৃহৎ,ক্ষুদ্র
বেওয়ারিশ,ওয়ারিশ
বেচাকেনা,লাভ
বেটি,বেটা
বেঁটে,লম্বা
বেতন,মজুরি
ব্যক্তি,সমষ্টি
ব্যক্ত,গূঢ়
ব্যর্থ,সার্থক
ব্যয়,আয়
ব্যস্ত,সমস্থ
ব্যবহার,অব্যবহার
ব্যষ্টি,সমষ্টি
ব্যাঘাত,সুবিধা
ব্যাপক,সংকীর্ণ
ব্যাপার,ছোট
ব্যাস,সমাস
ভক্তি,ঘৃণা
ভগ্ন,পূর্ণ
ভঙ্গ,অটুট
ভঙ্গুর,শাশ্বত
ভদ্র,ইতর
ভবিষ্যৎ,অতীত
ভয়,সাহস
ভরা,খালি
ভর্তা,ভার্যা
ভস্ম,স্বর্ণ
ভাই,বোন
ভাগ,গুণ
ভাগ্য,দুর্ভাগ্য
ভাজক,ভাজ্য
ভাঙ্গা,গড়া
ভাটা,জোয়ার
ভাড়া,নিজস্ব
ভাল,মন্দ
ভাব,আড়ি
ভারী,হালকা
ভাসা,ডুবা
ভিতর,বাহির
ভিন্ন,অভিন্ন
ভীত,সাহসী
ভীরু,সাহসী
ভীষণ,মৃদু
ভুক্ত,অভুক্ত
ভুল,শুদ্ধ
ভূত,ভবিষ্যৎ
ভূমি,আকাশ
ভূষণ,দূষণ
ভৃত্য,প্রভু
ভেদ, অভেদ
ভোগ,ত্যাগ
ভোজ্য,অভোজ্য
ভোট,একনায়ক
ভ্রান্ত,নিভ্রান্ত
ভ্রাতা,ভগিনী
মঙ্গল,অমঙ্গল
মঞ্জুর,নামঞ্জুর
মজিদ,মন্দির
মজবুত,ঠুনকো
মৎসর,উদার
মত,পথ
মদ,ভালো
মধুর,তিক্ত/কটু
মধ্য,প্রান্ত
মনন,বিস্মরণ
মনোযোগ,অমনোযোগ
মন্দ,ভাল
মমতা,নিষ্ঠুরতা
ময়লা,পরিষ্কার
মরা,বাঁচা
মর্ত্য,স্বর্গ
মলিন,উজ্জ্বল
মসৃণ,বন্ধুর
মহৎ,নীচ
মহাত্মা,নীচাত্মা
মহাজন,খাতক
মহা,ক্ষুদ্র
মাংস,হাড়
মাংসাশী,নিরামিষাশী
মাঁ,বাবা
মাকড়সা,মাছি
মাঝারি,ছোট/বড়
মান,অপমান
মানব,দানব
মান্য,অমান্য
মায়া,নিষ্ঠুরতা
মারী,রক্ষা
মালিক,শ্রমিক
মিটি,কড়া
মিতব্যয়ী,অমিতব্যয়ী
মিতা,শত্রু
মিথ্যা,সত্য
মিথ্যাবাদী,সত্যবাদী
মিল,অমিল
মিলন,বিরহ
মিশ্র,বিশুদ্ধ
মিষ্টি,টক
মীমাংসা,বিরোধ
মুক্ত,বদ্ধ
মুক্তি,বন্ধন
মুখ,পিঠ
মুখ্য,গৌণ
মুগ্ধ,বিরক্ত
মুর্দা,জিন্দা
মূর্খ,জ্ঞানী
মূর্ত,বিমূর্ত
মূল,শাখা
মূল্যবান,মূল্যহীন
মৃণাল,পঙ্ক
মৃত,জীবিত
মৃত্যু,জন্ম
মৃদু,প্রবল
মেকি,আসল
মেধাবী,নির্বোধ
মেয়ে,ছেলে
মেরু,মরু
মেল,গরমিল
মেশা,আলাদা
মোটা,রোগা
মোট,খুচরা
মৌন,মুখর
মৌলিক,যৌগিক
ম্লান,উজ্জ্বল
যজমান,পুরোহিত
যত,তত
যত্ন,অযত্ন
যথার্থ,অযথার্থ
যথেষ্ট,অপ্রতুল
যশ,অপযশ
যাওয়া,আসা
যাচক,দাতা
যাজক,শ্রোতা
যুক্ত,বিযুক্ত
যুদ্ধ,শান্তি
যুবক,বৃদ্ধ
যোগ,বিয়োগ
যোগ্য,অযোগ্য
যৌগিক,মৌলিক
যৌবন,বার্ধক্য
রক্ত,শ্বেত
রঙিন,সাদা
রচন,পাঠ
রজত,স্বর্ণ
রণ,শান্তি
রত,বিরত
রদ,বজায়
রসিক,বেরসিক
রহস্য,স্পষ্ট
রাগী,শান্ত
রাজা,প্রজা
রাজি,নারাজ
রাত্রি,দিবা
রাম,রাবণ
রাষ্ট্র,ব্যক্তি
রুক্ষ,স্নিগ্ধ
রুগ্ন,সুস্থ
রুচি,অরুচি
রুদ্ধ,মুক্ত
রূপ,অরূপ
রেয়াত,কড়াকড়ি
রোগ,স্বাস্থ্য
রোগা,মোটা
রোদ,বৃষ্টি
রোষ,তোষ
লম্বা,বেঁটে
লয়,সৃষ্টি
লঘু,গুরু
লজ্জা,নির্লজ্জতা
লড়ন,থামা
লব,হর
লাভ,ক্ষতি
লিখিত,মৌখিক
লিপ্ত,নির্লিপ্ত
লীন,প্রকাশিত
লুণ্ঠন,রক্ষা
লুপ্ত,ব্যক্ত
লেখা,পড়া
লোভ,সন্তোষ
লোভী,নির্লোভ
লৌকিক,অলৌকিক
লৌহ,স্বর্ণ
শক্ত,নরম
শত্রু,মিত্র
শব্দ,নিঃশব্দ
শয়ন,জাগরণ
শয়তান,দেবতা
শরণ,লড়াই
শরিফ,রজিল
শহুরে,গেঁয়ো
শহর,গ্রাম
শান্ত,উগ্র
শান্তি,অশান্তি
শাপ,বর
শারীরিক,মানসিক
শাশ্বত,নশ্বর
শাসক,শাসিত
শাস্তি,পুরস্কার
শাস্ত্র,লোক
শিক্ষক,ছাত্র
শিক্ষিত,অশিক্ষিত
শিথিল,দৃঢ়
শির,পদ
শিশির,আতপ
শিশু,বৃদ্ধ
শিষ্য,গুরু
শীত,গ্রীষ্ম
শীতল,উষ্ণ
শীঘ্র,বিলম্বে
শীর্ণ,স্থূল
শুদ্ধ,অশুদ্ধ
শুব,অশুভ
শুষ্ক,আর্দ্র
শূন্য,পূর্ণ
শূর,ভীতু
শৃল,অশৃঙ্খল
শেষ,শুরু
শোক,হর্ষ
শোধন,দূষণ
শোভন,অশোভন
শোষক,শোষিত
শৌখিন,পেশাদার
শ্রম,বিশ্রাম
শ্রমিক,মালিক
শ্রদ্ধা,ঘৃণা
শ্ৰব্য,অশ্ৰব্য
শ্রান্ত,অশ্রান্ত
শ্ৰী,অশ্ৰী
শ্রোতা,বক্তা
শ্লাঘা,নিন্দা
শ্লথ,দ্রুত
শ্বশুর,শাশুড়ি
শ্বাস,প্রশ্বাস
শ্বেত,কৃষ্ণ
ষণ্ড,গাভী
ষাঁড়,গাই
সংকীৰ্ণ,প্রশস্ত
সংকুচিত,প্রসারিত
সংক্ষেপ,বিস্তার
সংগত,অসংগত
সংগ্রাম,শান্তি
সংঘ,ব্যক্তি
সংযত,অসংযত
সংযোগ,বিয়োগ
সংরক্ষণ,বিনাশ
সংশয়,প্রত্যয়
সংশ্লেষ,বিশ্লেষণ
সংসার,সন্ন্যাস
সংস্কার,কুসংস্কার
সংহতি,বিভক্তি
সকাম,নিষ্কাম
সকার,নিরাকার
সক্রিয়,নিষ্ক্রিয়
সক্ষম,অক্ষম
সখ,সাধ
সখা,শত্রু
সগর্ব,বিনীত
সগুণ,নির্গুণ
সচল,অচল
সচেতন,অচেতন
সচেষ্ট,নিশ্চেষ্ট
সচ্ছল,অসচ্ছল
সজাগ,ঘুমন্ত
সজীব,নির্জীব
সঞ্চয়,অপচয়
সততা,অসততা
সতী,অসতী
সতর্ক,অসতর্ক
সত্য,মিথ্যা
সদয়,নির্দয়
সদস্য,অনাত্মীয়
সদাচার,কদাচার
সদ্য,বাসি
সধবা,বিধবা
সনাতন,নূতন
সন্তান,নিঃসন্তান
সন্তোষ,অসন্তোষ
সন্দেহ,বিশ্বাস
সন্ধি,বিগ্রহ
সন্ধ্যা,প্রাতঃ
সন্ন্যাসী,গৃহী
সপক্ষ,বিপক্ষ
সফল,বিফল
সবল,দুর্বল
সবার,একলা
সম,বিষম
সমক্ষ,পরোক্ষ
সমগত,বিগত
সমতল,বন্ধুর
সমতা,বিষমতা
সময়,অসময়
সমর্থ,অসমর্থ
সমর্থন,বিরোধিতা
সমষ্টি,ব্যষ্টি
সমাস,ব্যাস
সমাপ্ত,অসমাপ্ত
সমীচীন,অসমীচীন
সমীপ,দূর
সমুচিত,অনুচিত
সম্ভাবনা,নিশ্চয়তা
সম্মান,অপমান
সম্মুখ,পশ্চাৎ
সরল,কূটিল/বক্র
সরস,নীরস
সরু,মোটা
সর্দার,অনুচর
সর্বদা,কদাচিৎ
সসীম,অসীম
সহজ,কঠিন
সহযোগ,অসহযোগ
সহ্য,অসহ্য
সাকার,নিরাকার
সাক্ষর,নিরক্ষর
সাক্ষী,বাদী
সাগরেদ,ওস্তাদ
সাড়া,শব্দ
সাদৃশ্য,বৈসাদৃশ্য
সাধ,সাধ্য
সাধক,বাধক
সাধারণ,অসাধারণ
সাধু,অসাধু
সাধ্য,অসাধ্য
সান্ত্বনা,ভৎসনা
সাপেক্ষ,নিরপেক্ষ
সাবালক,নাবালক
সামনে,পিছনে
সাম্য,বৈষম্য
সামান্য,অসামান্য
সাময়িক,স্থায়ী
সার,অসার
সার্থক,নিরর্থক
সার্বজনীন,ব্যক্তিগত
সাহস,ভয়
সাহসী,ভীরু
সিত,অসিত
সিদ্ধ,অসিদ্ধ
সিন্ধু,বিন্দু
সুগম,দুর্গম
সুজন,কুজন
সুদিন,দুর্দিন
সুদ,আসল
সুন্দর,কুৎসিত
সুনাম,দুর্নাম
সুপথ,কুপথ
সুপুত্র,কুপুত্র
সুবোধ,দুর্বোধ
সুর,অসুর
সুলভ,দুর্লভ
সুশ্রী,কুশ্রী
সুস্থ,অসুস্থ
সূক্ষ্ম,স্থূল
সূচনা,সমাপ্তি
সূর্য,চন্দ্র
সৃষ্টি,ধ্বংস/লয়
সেকাল,একাল
সেবক,প্রভু
সেবা,অপকার
সোনা,রূপা
সৌভাগ্য,দুর্ভাগ্য
সৌম্য,উগ্র
সৌন্দর্য,কুৎসিত
স্কুল,কলেজ
স্তুতি,নিন্দা
স্থূল,সূক্ষ্ম
স্থায়ী,অস্থায়ী
স্থাবর,অস্থাবর
স্থির,চঞ্চল
স্পষ্ট,অস্পষ্ট
স্পর্শ,অস্পর্শ
স্ফীত,কুঞ্চিত
স্মরণ,বিস্মরণ
স্মৃতি,বিস্মৃতি
স্বকীয়,পরকীয়
স্বগত,প্রকাশ্য
স্বতন্ত্র,পরতন্ত্র
স্বদেশ,বিদেশ
স্বপ্ন,বাস্তব
স্বভাব,কৃত্রিম
স্বর্গ,নরক
স্বল্প,অধিক
স্বস্তি,অস্বস্তি
স্বাক্ষর,নিরক্ষর
স্বাগত,বিদায়
স্বাধীন,পরাধীন
স্বাভাবিক,অস্বাভাবিক
স্বামী,স্ত্রী
স্বার্থ,পরার্থ
স্বাস্থ্য,অস্বাস্থ্য
স্বীকার,অস্বীকার
স্মৃতি,বিস্মৃতি
হর্ষ,বিষাদ
হাঁ,না
হাজির,গড়হাজির
হাট,বাজার
হাড়,মাংস
হাত,পা
হানি,লাভ
হার,জিত
হাসি,কান্না
হিংসা,অহিংসা
হিত,অহিত
হিসাব,বেহিসাব
হীন,মহৎ
হৃদ্য,বিদ্বেষ
হ্রাস,বৃদ্ধি
হ্রস্ব,দীর্ঘ
ক্ষতি,লাভ
ক্ষণস্থায়ী,দীর্ঘস্থায়ী
ক্ষয়,বৃদ্ধি
ক্ষুদ্র,বৃহৎ

অকপট,কপট

অকূল,সুকূল

অকালবোধন,বিসর্জন

অকূলপাথার,কূল

অগাধ,অগভীর

অঘটন,সুঘটন

অঘোর,সজাগ

অজ,বিজ্ঞ

অজপা,জপা

অজমূর্খ,পণ্ডিত

অটল,টলায়মান

অতল,বিতল

অতনু,সতনু

অত্যন্ত,সামান্য

অত্র,তত্র

অদদ্রি,সদদ্রি

অতীন্দ্রিয়,ঐন্দ্রিয়ক

অদদ্রি,সদদ্রি

অদৃষ্টপূর্ব,দৃষ্টপূর্ব

অধর্ম,সধর্ম

অধঃস্তন,উর্ধ্বতন

অধীত,অনধীত

অনঘ,সঘ

অননুকূল,অনুকূল

অননুকরণীয়,অনুকরণযোগ্য

অনপনেয়,পনেয়

অনন্বিত,অন্বিত

অনভিজ্ঞ,অভিজ্ঞ

অনভিপ্রেত,অভিপ্রেত

অনবরত,বিরত

অনলস,অলস

অনশন,অশন

অনাকুল,ব্যাকুল

অনামা,সনামা

অনিকেত,সনিকেত

অনিত্য,নিত্য

অনিদ্রা,জাগরণ

অনিন্দ্য,নিন্দ্য

অনিরুদ্ধ,রূদ্ধ

অনির্বাণ,নির্বাণ

অন্বয়,ব্যতিরেক

অনুক্ষণ,কদাচিৎ

অনুগৃহীত,নিগৃহীত

অনুজ্জ্বল,দীপ্ত

অনূঢ়া,উঢ়া

অন্ত্যজ,অভিজাত

অপকর্ষ,উৎকর্ষ

অপপ্রয়োগ,সুপ্রয়োগ

অপাংক্তেয়,পাংক্তেয়

অবাধ,বাধাপ্রাপ্ত

অভিজাত,ইতর

অভিনব,পুরাতন

অভিব্যক্তি,তিরোভাব

অভ্যুত্থান,দমন

অমরাবতী,নরক

অমলিন,মলিন

অমৃত,গরল

অমোঘ,ব্যর্থ

অযাচিত,যাচিত

অরক্ষণীয়,রক্ষণীয়

অরাতি,মিত্র

অর্পণ,প্রর্পণ

অলক্ষ্মী,লক্ষ্মী

অল্পপ্রাণ,মহাণ

অশন,অনশন

অশনিপাত,আশীর্বাদ

অশ্লীল,শ্লীল

অশেষ,সশেষ

অসিত,সিত

অসূয়া,অনসূয়া

অসাদ্দ্য,সাদ্দ্য

অসার,সারবান

অসুর,সুর

অস্তমিত,উদিত

অস্তাচল,উদয়াচল

অস্থিমজ্জা,বাহ্যিক

অহং,নিরহং

অহর্নিশ,কদাচিৎ

অহিত,হিত

অহোরাত্র,ক্ষণকাল

আকাঙ্ক্ষা,নিবৃত্তি

আকীর্ণ,বিকীর্ণ

আকুল,প্রশান্ত

আকুলতা,প্রশান্তি

আকুঞ্চন,প্রসারণ

আকস্মিক,চিরন্তন

আক্ষরিক,ভাবার্থ

আখ্যাত,অখ্যাত

আখ্যান,উপাখ্যান

আগম,নিগম

আগত,অনাগত

আগুয়ান,পিছুটান

আচারনিষ্ঠ,অনাচারী

আচ্ছন্ন,উন্মুক্ত

আটপৌরে,জমকালো

আততায়ী,রক্ষক

আতঙ্কিত,নির্ভয়

আত্মনির্ভর,পরনির্ভর

আত্মসাৎ,প্রত্যর্পণ

আদিম,অন্তিম

আদিষ্ট,নিষিদ্ধ

আদ্র,শুষ্ক

আধিভৌতিক,আধিদৈবিক

আধ্যাত্মিক,জাগতিক

আধেয়,আধার

আনত,উন্নত

আনুগত্য,বিদ্রোহ

আনুপাতিক,অসংলগ্ন

আপাতত,চিরকাল

আপাতদৃষ্টে,প্রকৃতপক্ষে

আপামর,বিশেষ

আপ্লুত,শুষ্ক

আস্তর,অনাস্তর

আবির্ভূত,তিরোহিত

আবেষ্টনী,মুক্ত

আভোগ,উপসংহার

আমরণ,ক্ষণকাল

আমেজ,নিরস

আয়ত্ত,অনায়ত্ত

আরব্ধ,সমাপ্ত

আরাধ্য,হেয়

